,user_id,af0,cycle,gender,age,activity_id,af1,af2,dificulty,topic,run_number
37,2,46,18,0,21,229,47.5,50.5,3,3,1
38,2,46,19,0,21,126,39.5,30.5,4,1,1
39,2,46,20,0,21,229,53.0,51.5,1,3,1
40,3,21,1,0,24,54,14.5,-24.0,1,3,1
41,3,21,2,0,24,72,17.5,-7.0,5,1,1
42,3,21,3,0,24,202,-11.0,-24.5,3,3,1
43,3,21,4,0,24,199,19.0,30.5,3,2,1
44,3,21,5,0,24,52,36.5,6.0,3,1,1
45,3,21,6,0,24,138,31.0,23.0,4,1,1
46,3,21,7,0,24,71,12.5,3.0,2,2,1
47,3,21,8,0,24,11,33.5,56.0,1,2,1
48,3,21,9,0,24,229,36.0,48.5,3,2,1
49,3,21,10,0,24,53,30.5,60.5,2,1,1
50,3,21,11,0,24,210,46.5,28.0,1,2,1
51,3,21,12,0,24,224,42.0,47.5,2,1,1
52,3,21,13,0,24,244,16.0,45.5,1,3,1
53,3,21,14,0,24,158,28.5,3.0,1,3,1
54,3,21,15,0,24,119,28.5,-4.0,3,2,1
55,3,21,16,0,24,54,13.0,10.5,3,1,1
56,3,21,17,0,24,162,18.0,-0.5,1,1,1
57,3,21,18,0,24,237,5.0,-15.5,5,1,1
58,3,21,19,0,24,218,38.5,32.5,2,1,1
59,3,21,20,0,24,77,21.5,25.5,2,1,1
60,4,38,1,0,61,166,20.0,32.5,1,3,1
61,4,38,2,0,61,191,39.5,42.5,3,1,1
62,4,38,3,0,61,147,41.5,31.5,5,3,1
63,4,38,4,0,61,10,11.0,27.5,2,1,1
64,4,38,5,0,61,171,37.0,23.5,1,3,1
65,4,38,6,0,61,200,26.0,15.5,5,1,1
66,4,38,7,0,61,74,51.5,43.5,4,3,1
67,4,38,8,0,61,192,65.5,53.5,1,1,1
68,4,38,9,0,61,175,42.0,47.0,2,1,1
69,4,38,10,0,61,147,47.5,57.5,1,1,1
70,4,38,11,0,61,129,29.5,22.5,3,3,1
71,4,38,12,0,61,58,48.0,55.5,5,3,1
72,4,38,13,0,61,70,44.0,37.0,4,2,1
73,4,38,14,0,61,206,21.0,24.5,3,1,1
74,4,38,15,0,61,47,37.5,20.5,1,2,1
75,4,38,16,0,61,124,38.5,27.0,5,2,1
76,4,38,17,0,61,127,32.5,43.5,2,1,1
77,4,38,18,0,61,37,46.5,57.5,1,2,1
78,4,38,19,0,61,16,26.5,30.5,3,2,1
79,4,38,20,0,61,201,26.0,40.0,5,3,1
80,5,40,1,0,59,234,34.0,50.5,2,2,1
81,5,40,2,0,59,228,34.5,55.5,3,3,1
82,5,40,3,0,59,225,28.0,47.5,1,1,1
83,5,40,4,0,59,87,33.0,31.5,3,1,1
84,5,40,5,0,59,103,28.5,9.0,5,3,1
85,5,40,6,0,59,185,61.5,70.5,5,2,1
86,5,40,7,0,59,187,46.5,35.5,3,1,1
87,5,40,8,0,59,139,39.5,40.5,2,3,1
88,5,40,9,0,59,108,64.0,82.5,5,3,1
89,5,40,10,0,59,58,36.0,42.5,3,1,1
90,5,40,11,0,59,237,37.0,50.0,4,1,1
91,5,40,12,0,59,104,23.0,39.5,5,3,1
92,5,40,13,0,59,222,43.0,55.5,2,2,1
93,5,40,14,0,59,206,57.5,31.5,4,1,1
94,5,40,15,0,59,190,51.0,48.0,5,1,1
95,5,40,16,0,59,56,33.0,52.0,5,2,1
96,5,40,17,0,59,83,17.0,7.5,3,1,1
97,5,40,18,0,59,67,38.5,30.0,2,2,1
98,5,40,19,0,59,20,25.0,28.0,5,2,1
99,5,40,20,0,59,31,24.0,31.0,5,2,1
100,6,20,1,1,22,73,10.5,22.5,4,3,1
101,6,20,2,1,22,151,50.5,35.5,4,3,1
102,6,20,3,1,22,108,22.5,50.5,1,3,1
103,6,20,4,1,22,96,48.5,42.0,3,2,1
104,6,20,5,1,22,104,25.0,10.5,3,1,1
105,6,20,6,1,22,148,10.5,5.5,1,3,1
106,6,20,7,1,22,180,52.0,61.0,3,3,1
107,6,20,8,1,22,143,40.0,29.0,2,2,1
108,6,20,9,1,22,84,1.0,-21.0,1,1,1
109,6,20,10,1,22,40,14.0,2.5,4,2,1
110,6,20,11,1,22,185,41.5,17.5,3,3,1
111,6,20,12,1,22,225,21.5,23.0,5,3,1
112,6,20,13,1,22,165,3.5,1.0,5,3,1
113,6,20,14,1,22,165,22.0,3.5,4,3,1
114,6,20,15,1,22,131,0.5,-18.0,1,1,1
115,6,20,16,1,22,106,-3.5,-39.0,3,3,1
116,6,20,17,1,22,138,34.0,54.0,3,3,1
117,6,20,18,1,22,16,31.0,21.0,1,3,1
118,6,20,19,1,22,197,42.0,43.0,1,1,1
119,6,20,20,1,22,124,0.0,8.5,5,2,1
120,7,30,1,0,42,128,49.0,65.5,5,3,1
121,7,30,2,0,42,87,32.5,51.0,1,2,1
122,7,30,3,0,42,95,35.5,32.5,2,1,1
123,7,30,4,0,42,27,12.5,0.0,2,2,1
124,7,30,5,0,42,10,16.5,38.0,2,1,1
125,7,30,6,0,42,44,34.5,41.5,3,1,1
126,7,30,7,0,42,84,41.0,30.5,4,2,1
127,7,30,8,0,42,229,16.5,24.5,1,2,1
128,7,30,9,0,42,10,17.0,33.5,2,2,1
129,7,30,10,0,42,235,33.0,20.5,2,3,1
130,7,30,11,0,42,121,37.5,23.0,3,3,1
131,7,30,12,0,42,66,23.5,44.0,3,3,1
132,7,30,13,0,42,34,41.5,35.5,1,2,1
133,7,30,14,0,42,63,28.0,52.0,3,3,1
134,7,30,15,0,42,31,37.5,13.0,2,2,1
135,7,30,16,0,42,30,16.0,37.5,2,2,1
136,7,30,17,0,42,50,25.5,16.5,3,2,1
137,7,30,18,0,42,187,38.5,8.5,1,3,1
138,7,30,19,0,42,26,41.0,69.0,2,2,1
139,7,30,20,0,42,65,31.0,25.5,5,3,1
140,8,43,1,1,34,232,42.5,51.5,4,1,1
141,8,43,2,1,34,8,46.0,49.0,2,3,1
142,8,43,3,1,34,131,40.5,39.0,2,2,1
143,8,43,4,1,34,205,47.5,50.0,3,3,1
144,8,43,5,1,34,136,55.5,56.0,5,3,1
145,8,43,6,1,34,74,35.0,47.0,1,1,1
146,8,43,7,1,34,142,26.5,32.5,3,3,1
147,8,43,8,1,34,163,27.0,32.5,3,2,1
148,8,43,9,1,34,60,65.0,60.5,1,1,1
149,8,43,10,1,34,167,49.5,68.5,1,2,1
150,8,43,11,1,34,211,35.0,20.5,3,1,1
151,8,43,12,1,34,170,52.0,61.5,2,3,1
152,8,43,13,1,34,121,36.5,23.5,3,1,1
153,8,43,14,1,34,229,24.5,24.5,4,3,1
154,8,43,15,1,34,99,50.5,59.0,3,1,1
155,8,43,16,1,34,190,23.5,27.0,2,3,1
156,8,43,17,1,34,225,22.5,19.5,3,2,1
157,8,43,18,1,34,244,63.0,77.5,1,1,1
158,8,43,19,1,34,172,54.5,40.0,5,3,1
159,8,43,20,1,34,64,56.5,41.5,1,2,1
160,9,31,1,0,59,56,42.5,40.0,5,2,1
161,9,31,2,0,59,184,37.0,34.0,5,1,1
162,9,31,3,0,59,151,0.5,0.5,4,1,1
163,9,31,4,0,59,144,27.0,36.5,4,3,1
164,9,31,5,0,59,49,33.5,38.0,5,3,1
165,9,31,6,0,59,204,29.5,12.0,1,1,1
166,9,31,7,0,59,198,14.5,-16.5,4,3,1
167,9,31,8,0,59,40,40.0,22.0,3,1,1
168,9,31,9,0,59,149,36.5,47.0,2,3,1
169,9,31,10,0,59,27,40.0,22.5,3,1,1
170,9,31,11,0,59,25,38.5,31.5,2,3,1
171,9,31,12,0,59,30,1.0,-2.5,2,2,1
172,9,31,13,0,59,58,7.5,39.5,1,1,1
173,9,31,14,0,59,174,38.5,37.5,4,1,1
174,9,31,15,0,59,177,26.5,36.5,4,3,1
175,9,31,16,0,59,247,15.5,-3.0,1,1,1
176,9,31,17,0,59,10,8.0,11.5,3,3,1
177,9,31,18,0,59,55,19.0,5.0,1,2,1
178,9,31,19,0,59,154,32.5,15.5,2,1,1
179,9,31,20,0,59,108,4.0,12.5,4,1,1
180,10,32,1,1,22,186,46.0,58.5,3,2,1
181,10,32,2,1,22,69,30.5,20.5,4,1,1
182,10,32,3,1,22,206,29.5,20.5,2,2,1
183,10,32,4,1,22,111,23.5,9.5,3,1,1
184,10,32,5,1,22,12,23.5,17.5,2,2,1
185,10,32,6,1,22,116,36.0,48.0,5,3,1
186,10,32,7,1,22,146,36.0,36.5,3,1,1
187,10,32,8,1,22,145,43.0,71.0,5,3,1
188,10,32,9,1,22,108,50.0,64.5,2,1,1
189,10,32,10,1,22,20,30.0,37.5,3,3,1
190,10,32,11,1,22,228,6.0,1.0,4,2,1
191,10,32,12,1,22,26,41.5,48.5,1,3,1
192,10,32,13,1,22,129,33.0,34.5,3,3,1
193,10,32,14,1,22,27,26.5,27.5,3,2,1
194,10,32,15,1,22,205,27.0,31.0,5,2,1
195,10,32,16,1,22,43,13.5,7.5,5,3,1
196,10,32,17,1,22,205,34.0,29.0,1,1,1
197,10,32,18,1,22,100,28.0,45.0,3,2,1
198,10,32,19,1,22,226,12.5,24.5,3,1,1
199,10,32,20,1,22,47,58.0,34.0,2,3,1
200,11,40,1,0,25,119,31.0,28.5,5,2,1
201,11,40,2,0,25,52,35.5,35.0,3,1,1
202,11,40,3,0,25,36,48.0,45.0,5,3,1
203,11,40,4,0,25,121,36.0,50.0,1,1,1
204,11,40,5,0,25,12,43.0,39.0,4,1,1
205,11,40,6,0,25,196,53.5,53.0,5,3,1
206,11,40,7,0,25,78,37.0,51.0,5,2,1
207,11,40,8,0,25,62,28.0,23.0,2,2,1
208,11,40,9,0,25,3,37.5,22.0,5,2,1
209,11,40,10,0,25,168,18.5,19.5,5,3,1
210,11,40,11,0,25,21,58.5,83.0,2,1,1
211,11,40,12,0,25,154,33.0,28.0,2,1,1
212,11,40,13,0,25,14,53.0,53.0,3,3,1
213,11,40,14,0,25,41,21.0,22.0,1,3,1
214,11,40,15,0,25,60,18.5,13.0,4,3,1
215,11,40,16,0,25,80,21.0,20.5,2,3,1
216,11,40,17,0,25,58,31.0,9.5,5,2,1
217,11,40,18,0,25,110,46.5,33.5,3,1,1
218,11,40,19,0,25,151,31.5,26.0,5,3,1
219,11,40,20,0,25,218,25.0,38.0,1,3,1
220,12,46,1,0,44,63,52.0,53.5,1,3,1
221,12,46,2,0,44,48,52.0,53.0,3,2,1
222,12,46,3,0,44,43,43.0,30.0,4,1,1
223,12,46,4,0,44,37,43.5,41.5,3,1,1
224,12,46,5,0,44,223,45.0,41.0,5,2,1
225,12,46,6,0,44,40,55.0,65.0,4,3,1
226,12,46,7,0,44,70,38.0,45.0,5,3,1
227,12,46,8,0,44,86,53.0,45.0,5,3,1
228,12,46,9,0,44,170,58.0,74.0,5,3,1
229,12,46,10,0,44,83,56.0,60.0,5,3,1
230,12,46,11,0,44,156,37.5,36.5,2,1,1
231,12,46,12,0,44,187,59.5,66.5,2,1,1
232,12,46,13,0,44,118,46.0,48.0,4,3,1
233,12,46,14,0,44,89,26.5,35.0,2,2,1
234,12,46,15,0,44,96,46.0,52.0,2,3,1
235,12,46,16,0,44,192,30.5,24.0,4,1,1
236,12,46,17,0,44,226,47.0,34.5,3,3,1
237,12,46,18,0,44,33,37.5,38.5,3,1,1
238,12,46,19,0,44,237,42.0,56.0,1,3,1
239,12,46,20,0,44,61,50.0,58.0,3,1,1
240,13,51,1,0,54,126,45.5,38.5,5,3,1
241,13,51,2,0,54,99,50.0,62.5,3,2,1
242,13,51,3,0,54,96,45.0,47.5,4,3,1
243,13,51,4,0,54,139,47.5,41.5,3,3,1
244,13,51,5,0,54,17,71.0,65.5,1,3,1
245,13,51,6,0,54,202,39.5,54.5,2,2,1
246,13,51,7,0,54,240,66.0,66.0,4,3,1
247,13,51,8,0,54,76,47.0,39.5,2,2,1
248,13,51,9,0,54,38,48.0,41.0,1,3,1
249,13,51,10,0,54,165,62.5,48.0,3,2,1
250,13,51,11,0,54,19,50.0,63.0,5,3,1
251,13,51,12,0,54,184,60.0,80.5,4,2,1
252,13,51,13,0,54,5,42.5,48.5,4,1,1
253,13,51,14,0,54,3,66.0,60.5,5,3,1
254,13,51,15,0,54,35,46.0,48.0,2,2,1
255,13,51,16,0,54,214,48.5,57.5,1,2,1
256,13,51,17,0,54,66,55.0,68.5,3,3,1
257,13,51,18,0,54,153,69.5,84.5,5,3,1
258,13,51,19,0,54,203,58.5,60.5,5,2,1
259,13,51,20,0,54,203,41.5,37.5,2,2,1
260,14,51,1,0,49,41,47.0,50.0,2,1,1
261,14,51,2,0,49,24,39.0,33.5,4,2,1
262,14,51,3,0,49,184,59.0,72.0,5,3,1
263,14,51,4,0,49,209,48.0,52.5,3,2,1
264,14,51,5,0,49,44,40.5,44.0,3,3,1
265,14,51,6,0,49,113,44.5,62.0,2,2,1
266,14,51,7,0,49,29,52.0,61.5,2,2,1
267,14,51,8,0,49,189,45.0,51.0,1,2,1
268,14,51,9,0,49,18,38.5,45.5,2,2,1
269,14,51,10,0,49,33,52.0,33.0,2,2,1
270,14,51,11,0,49,244,66.0,58.0,2,2,1
271,14,51,12,0,49,40,53.5,42.5,2,3,1
272,14,51,13,0,49,148,69.0,64.5,1,3,1
273,14,51,14,0,49,233,52.0,47.5,4,1,1
274,14,51,15,0,49,30,46.0,40.5,4,3,1
275,14,51,16,0,49,223,44.5,50.0,2,3,1
276,14,51,17,0,49,123,65.0,56.0,4,1,1
277,14,51,18,0,49,173,53.0,52.5,3,3,1
278,14,51,19,0,49,138,65.5,56.0,5,1,1
279,14,51,20,0,49,244,60.5,66.0,5,3,1
280,15,37,1,1,56,139,27.0,17.0,3,2,1
281,15,37,2,1,56,127,48.0,55.5,5,3,1
282,15,37,3,1,56,61,30.0,20.0,3,1,1
283,15,37,4,1,56,1,39.5,46.5,4,3,1
284,15,37,5,1,56,55,54.5,72.5,3,1,1
285,15,37,6,1,56,111,53.0,50.5,2,2,1
286,15,37,7,1,56,98,43.5,53.0,1,2,1
287,15,37,8,1,56,173,25.5,27.0,5,1,1
288,15,37,9,1,56,190,13.5,0.5,3,1,1
289,15,37,10,1,56,49,25.5,37.0,3,2,1
290,15,37,11,1,56,231,64.0,60.5,5,1,1
291,15,37,12,1,56,221,44.5,61.5,2,1,1
292,15,37,13,1,56,160,22.5,47.5,5,2,1
293,15,37,14,1,56,76,16.5,15.5,4,1,1
294,15,37,15,1,56,26,32.0,21.0,2,2,1
295,15,37,16,1,56,44,34.5,33.5,5,2,1
296,15,37,17,1,56,9,54.0,49.0,2,3,1
297,15,37,18,1,56,85,25.0,0.0,3,1,1
298,15,37,19,1,56,81,28.0,33.5,4,2,1
299,15,37,20,1,56,50,26.0,17.5,3,1,1
300,16,31,1,1,35,188,42.0,38.0,1,3,1
301,16,31,2,1,35,129,20.0,42.5,1,1,1
302,16,31,3,1,35,192,38.0,39.5,1,1,1
303,16,31,4,1,35,235,53.5,62.5,1,3,1
304,16,31,5,1,35,100,40.0,41.5,5,1,1
305,16,31,6,1,35,57,17.5,2.0,3,1,1
306,16,31,7,1,35,85,32.5,36.0,3,1,1
307,16,31,8,1,35,184,47.0,63.5,5,1,1
308,16,31,9,1,35,52,24.5,48.5,2,2,1
309,16,31,10,1,35,173,27.0,12.0,3,2,1
310,16,31,11,1,35,131,45.5,15.0,1,1,1
311,16,31,12,1,35,44,35.0,26.5,4,3,1
312,16,31,13,1,35,7,35.5,30.5,3,3,1
313,16,31,14,1,35,28,6.5,-15.5,1,3,1
314,16,31,15,1,35,228,17.5,33.5,4,1,1
315,16,31,16,1,35,232,22.0,43.5,2,2,1
316,16,31,17,1,35,178,28.5,18.0,1,1,1
317,16,31,18,1,35,146,16.0,7.0,5,1,1
318,16,31,19,1,35,25,13.5,35.0,4,3,1
319,16,31,20,1,35,178,54.0,65.0,4,3,1
320,17,21,1,1,53,130,44.0,70.0,1,1,1
321,17,21,2,1,53,187,7.0,-14.5,5,3,1
322,17,21,3,1,53,82,-10.5,-12.5,1,3,1
323,17,21,4,1,53,97,39.0,38.0,5,1,1
324,17,21,5,1,53,61,27.5,36.5,1,3,1
325,17,21,6,1,53,125,21.0,33.5,2,1,1
326,17,21,7,1,53,173,16.0,26.0,5,1,1
327,17,21,8,1,53,147,14.5,44.5,4,1,1
328,17,21,9,1,53,206,10.0,10.0,5,3,1
329,17,21,10,1,53,183,30.0,46.5,4,2,1
330,17,21,11,1,53,129,22.0,18.0,4,1,1
331,17,21,12,1,53,242,14.0,1.0,1,1,1
332,17,21,13,1,53,87,18.5,29.0,3,1,1
333,17,21,14,1,53,166,20.5,11.5,5,3,1
334,17,21,15,1,53,21,12.5,0.0,3,1,1
335,17,21,16,1,53,77,11.0,-8.0,2,1,1
336,17,21,17,1,53,15,33.0,37.5,5,1,1
337,17,21,18,1,53,49,58.0,88.5,5,3,1
338,17,21,19,1,53,197,19.5,35.5,2,1,1
339,17,21,20,1,53,54,10.5,35.5,2,1,1
340,18,21,1,1,20,93,17.5,9.0,1,2,1
341,18,21,2,1,20,198,21.0,-4.0,5,2,1
342,18,21,3,1,20,191,11.5,10.0,5,1,1
343,18,21,4,1,20,83,19.5,-12.5,1,2,1
344,18,21,5,1,20,128,5.0,-10.0,4,2,1
345,18,21,6,1,20,54,21.0,29.5,3,1,1
346,18,21,7,1,20,113,19.5,24.5,5,3,1
347,18,21,8,1,20,85,20.5,29.5,3,2,1
348,18,21,9,1,20,167,6.0,38.0,3,2,1
349,18,21,10,1,20,93,29.0,53.0,3,3,1
350,18,21,11,1,20,204,-7.5,3.5,1,3,1
351,18,21,12,1,20,139,24.0,30.0,3,3,1
352,18,21,13,1,20,166,19.0,21.0,5,1,1
353,18,21,14,1,20,169,18.5,24.0,4,2,1
354,18,21,15,1,20,50,-5.0,-8.0,2,2,1
355,18,21,16,1,20,46,12.0,-9.0,4,1,1
356,18,21,17,1,20,182,18.0,51.5,4,2,1
357,18,21,18,1,20,100,13.0,27.5,3,3,1
358,18,21,19,1,20,160,20.5,11.5,1,2,1
359,18,21,20,1,20,148,12.0,2.5,2,1,1
360,19,32,1,1,48,156,18.0,-2.0,1,3,1
361,19,32,2,1,48,232,39.0,40.5,3,2,1
362,19,32,3,1,48,27,17.0,14.0,5,1,1
363,19,32,4,1,48,5,35.5,19.0,3,2,1
364,19,32,5,1,48,58,39.5,57.5,5,1,1
365,19,32,6,1,48,90,44.5,75.0,2,3,1
366,19,32,7,1,48,126,44.5,27.5,4,2,1
367,19,32,8,1,48,62,12.5,24.5,4,3,1
368,19,32,9,1,48,209,21.5,-2.5,2,3,1
369,19,32,10,1,48,110,9.0,13.5,5,1,1
370,19,32,11,1,48,145,43.0,30.0,1,1,1
371,19,32,12,1,48,16,12.5,-11.0,3,1,1
372,19,32,13,1,48,55,35.5,37.0,3,3,1
373,19,32,14,1,48,12,20.0,-9.5,4,2,1
374,19,32,15,1,48,107,40.0,24.0,5,2,1
375,19,32,16,1,48,249,13.0,3.5,5,1,1
376,19,32,17,1,48,20,29.5,40.5,5,1,1
377,19,32,18,1,48,26,22.0,6.5,3,3,1
378,19,32,19,1,48,112,12.0,9.5,4,3,1
379,19,32,20,1,48,205,31.0,29.0,2,3,1
380,20,27,1,0,56,44,53.0,54.5,5,3,1
381,20,27,2,0,56,58,26.0,21.5,3,2,1
382,20,27,3,0,56,76,35.0,21.5,1,1,1
383,20,27,4,0,56,23,35.5,37.0,2,2,1
384,20,27,5,0,56,249,6.0,37.5,2,2,1
385,20,27,6,0,56,105,35.5,8.0,2,2,1
386,20,27,7,0,56,157,-2.5,-21.5,3,2,1
387,20,27,8,0,56,231,49.5,59.0,3,2,1
388,20,27,9,0,56,39,15.5,-4.5,5,1,1
389,20,27,10,0,56,175,25.5,5.5,5,3,1
390,20,27,11,0,56,96,35.0,48.0,5,1,1
391,20,27,12,0,56,215,3.5,-22.0,3,2,1
392,20,27,13,0,56,204,35.5,30.0,5,3,1
393,20,27,14,0,56,65,29.5,29.5,2,3,1
394,20,27,15,0,56,206,48.5,26.0,3,2,1
395,20,27,16,0,56,131,31.0,9.5,5,1,1
396,20,27,17,0,56,114,30.5,29.5,5,1,1
397,20,27,18,0,56,134,42.5,57.5,1,2,1
398,20,27,19,0,56,77,51.5,75.0,1,1,1
399,20,27,20,0,56,2,39.0,41.0,4,1,1
400,21,47,1,0,52,192,43.5,35.0,3,3,1
401,21,47,2,0,52,83,56.5,52.5,1,2,1
402,21,47,3,0,52,18,53.5,57.0,5,1,1
403,21,47,4,0,52,66,39.0,28.0,5,3,1
404,21,47,5,0,52,203,49.0,48.5,2,3,1
405,21,47,6,0,52,2,43.5,32.0,5,1,1
406,21,47,7,0,52,154,40.0,50.5,3,3,1
407,21,47,8,0,52,231,33.0,23.5,4,3,1
408,21,47,9,0,52,121,60.5,53.5,4,1,1
409,21,47,10,0,52,208,25.5,27.5,3,2,1
410,21,47,11,0,52,73,46.0,31.5,1,1,1
411,21,47,12,0,52,55,59.0,71.0,1,1,1
412,21,47,13,0,52,189,56.5,51.0,5,2,1
413,21,47,14,0,52,20,36.5,42.0,5,3,1
414,21,47,15,0,52,105,42.0,28.0,5,2,1
415,21,47,16,0,52,4,44.5,44.5,1,1,1
416,21,47,17,0,52,31,35.5,15.0,2,1,1
417,21,47,18,0,52,89,43.5,39.0,1,3,1
418,21,47,19,0,52,99,49.0,35.5,4,2,1
419,21,47,20,0,52,212,38.5,19.5,3,1,1
420,22,37,1,1,25,204,34.0,40.0,2,3,1
421,22,37,2,1,25,224,45.5,36.5,3,1,1
422,22,37,3,1,25,176,51.5,49.0,4,1,1
423,22,37,4,1,25,195,31.0,30.5,3,3,1
424,22,37,5,1,25,205,48.0,64.5,3,3,1
425,22,37,6,1,25,61,29.5,47.0,5,1,1
426,22,37,7,1,25,120,37.0,49.0,3,2,1
427,22,37,8,1,25,63,50.0,56.5,1,3,1
428,22,37,9,1,25,190,39.0,31.5,1,1,1
429,22,37,10,1,25,108,44.5,42.0,5,2,1
430,22,37,11,1,25,59,39.0,48.0,3,3,1
431,22,37,12,1,25,201,57.5,44.0,3,2,1
432,22,37,13,1,25,131,40.5,60.5,3,2,1
433,22,37,14,1,25,75,41.5,42.5,1,2,1
434,22,37,15,1,25,234,28.0,12.0,4,1,1
435,22,37,16,1,25,212,26.5,26.5,1,2,1
436,22,37,17,1,25,132,38.5,38.0,4,3,1
437,22,37,18,1,25,97,17.0,34.0,1,1,1
438,22,37,19,1,25,25,25.5,18.0,2,2,1
439,22,37,20,1,25,79,30.5,31.0,1,1,1
440,23,42,1,0,50,61,26.0,22.0,2,1,1
441,23,42,2,0,50,94,48.5,33.5,3,1,1
442,23,42,3,0,50,118,32.5,15.0,2,2,1
443,23,42,4,0,50,68,61.0,62.0,5,1,1
444,23,42,5,0,50,166,57.0,36.5,2,1,1
445,23,42,6,0,50,147,62.0,62.0,2,2,1
446,23,42,7,0,50,26,59.0,65.5,1,3,1
447,23,42,8,0,50,71,16.0,-8.0,1,2,1
448,23,42,9,0,50,27,36.0,36.0,4,3,1
449,23,42,10,0,50,109,19.5,15.0,2,1,1
450,23,42,11,0,50,86,44.0,28.5,4,1,1
451,23,42,12,0,50,21,37.0,44.5,3,2,1
452,23,42,13,0,50,115,22.0,6.0,3,1,1
453,23,42,14,0,50,166,27.0,36.0,4,3,1
454,23,42,15,0,50,86,39.5,55.0,5,3,1
455,23,42,16,0,50,139,23.0,25.0,1,1,1
456,23,42,17,0,50,105,65.0,78.5,4,3,1
457,23,42,18,0,50,172,48.5,44.5,3,1,1
458,23,42,19,0,50,236,33.5,48.5,2,3,1
459,23,42,20,0,50,221,27.0,24.5,1,2,1
460,24,48,1,1,25,80,66.5,64.5,5,2,1
461,24,48,2,1,25,174,31.5,20.0,1,1,1
462,24,48,3,1,25,15,67.5,57.0,1,3,1
463,24,48,4,1,25,55,59.0,53.5,1,2,1
464,24,48,5,1,25,73,56.5,54.0,2,1,1
465,24,48,6,1,25,180,44.5,45.5,4,2,1
466,24,48,7,1,25,141,51.0,46.5,1,2,1
467,24,48,8,1,25,202,50.0,50.0,4,3,1
468,24,48,9,1,25,33,37.0,22.0,1,1,1
469,24,48,10,1,25,114,54.5,41.0,5,1,1
470,24,48,11,1,25,102,50.0,51.0,2,1,1
471,24,48,12,1,25,40,44.5,52.5,3,3,1
472,24,48,13,1,25,118,59.5,56.0,1,2,1
473,24,48,14,1,25,173,58.5,60.5,5,3,1
474,24,48,15,1,25,23,64.0,65.5,1,2,1
475,24,48,16,1,25,249,35.5,41.0,3,2,1
476,24,48,17,1,25,99,57.0,72.5,4,3,1
477,24,48,18,1,25,10,49.5,62.5,5,2,1
478,24,48,19,1,25,232,50.0,42.0,2,2,1
479,24,48,20,1,25,175,61.0,72.0,5,3,1
480,25,27,1,0,39,233,44.0,39.0,3,3,1
481,25,27,2,0,39,88,22.5,24.0,3,2,1
482,25,27,3,0,39,99,48.5,25.0,5,3,1
483,25,27,4,0,39,114,43.0,53.0,2,3,1
484,25,27,5,0,39,151,51.5,75.5,5,1,1
485,25,27,6,0,39,201,29.0,36.0,1,3,1
486,25,27,7,0,39,114,9.5,2.5,2,3,1
487,25,27,8,0,39,31,26.5,30.0,3,1,1
488,25,27,9,0,39,193,59.0,58.0,4,2,1
489,25,27,10,0,39,65,42.0,42.0,3,2,1
490,25,27,11,0,39,120,50.0,46.5,3,3,1
491,25,27,12,0,39,66,32.0,20.5,1,2,1
492,25,27,13,0,39,69,29.0,23.5,2,2,1
493,25,27,14,0,39,143,34.5,55.0,4,2,1
494,25,27,15,0,39,19,21.5,43.0,5,1,1
